Survey Identifier,Area of park,Longitude,Latitude,Food cache ,Lodge class,Lodge type,Lodge number,Lodge identifier,Unit identifier,Year of survey,Month of survey,Day of survey,Season,Aerial or ground survey method,Mode of transportation for survey,Percentage of EINP surveyed,Width of transect in meters,Visibility conditions,Amount of snow on ground,Amount of ice on ponds,"Flying height, above ground level",Flying speed,Survey Comments
12,south,-112.8064769,53.56890251,absent,NA,unknown,14,17014,17,1988,10,23,fall,aerial,helicopter,100,500,average,none,no,NA,NA,Ground-truthing showed aerial survey over-estimated active lodges by 18%.
12,south,-112.9266795,53.56762867,absent,NA,unknown,3,15003,15,1988,10,23,fall,aerial,helicopter,100,500,average,none,no,NA,NA,Ground-truthing showed aerial survey over-estimated active lodges by 18%.
12,south,-112.9310862,53.56822286,absent,NA,unknown,1,15001,15,1988,10,23,fall,aerial,helicopter,100,500,average,none,no,NA,NA,Ground-truthing showed aerial survey over-estimated active lodges by 18%.
12,south,-112.8414347,53.57089551,absent,NA,unknown,1,17001,17,1988,10,23,fall,aerial,helicopter,100,500,average,none,no,NA,NA,Ground-truthing showed aerial survey over-estimated active lodges by 18%.
14,north,-112.898617,53.56621657,absent,NA,unknown,2,13002,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9155135,53.56850927,absent,NA,unknown,19,12019,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.917154,53.56871673,absent,NA,unknown,36,12036,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8772842,53.56941217,absent,NA,unknown,4,13004,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8782374,53.56945115,absent,NA,unknown,3,13003,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8845637,53.56941455,absent,NA,unknown,22,13022,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9237053,53.56898011,absent,NA,unknown,17,12017,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8765979,53.56994436,absent,NA,unknown,5,13005,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8675841,53.5706878,absent,NA,unknown,26,13026,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9288341,53.57017409,absent,NA,unknown,13,12013,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9193633,53.5704793,absent,NA,unknown,16,12016,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9312578,53.57033275,absent,NA,unknown,12,12012,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8552074,53.57155468,absent,NA,unknown,25,13025,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9166279,53.57077489,absent,NA,unknown,37,12037,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.920573,53.57117908,absent,NA,unknown,15,12015,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8066429,53.57315221,absent,NA,unknown,8,14008,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8796334,53.57232399,absent,NA,unknown,27,13027,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9219892,53.57176765,absent,NA,unknown,33,12033,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9465968,53.57152247,absent,NA,unknown,21,12021,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8467294,53.57351984,absent,NA,unknown,9,13009,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8305204,53.57381398,absent,NA,unknown,3,14003,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8312264,53.57407287,absent,NA,unknown,2,14002,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9335001,53.57247212,absent,NA,unknown,27,12027,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8985059,53.5731766,absent,NA,unknown,1,13001,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8516922,53.57406341,absent,NA,unknown,17,13017,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8467472,53.57427472,absent,NA,unknown,8,13008,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8116287,53.57530628,absent,NA,unknown,11,14011,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8774594,53.57473149,absent,NA,unknown,23,13023,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8231513,53.57665947,absent,NA,unknown,4,14004,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9500035,53.575971,absent,NA,unknown,23,12023,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8559953,53.57747582,absent,NA,unknown,16,13016,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8549987,53.5802422,absent,NA,unknown,15,13015,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8542196,53.58038913,absent,NA,unknown,14,13014,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8162544,53.58173581,absent,NA,unknown,15,14015,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8161954,53.58247388,absent,NA,unknown,14,14014,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8166205,53.58252136,absent,NA,unknown,13,14013,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8271058,53.58429448,absent,NA,unknown,5,14005,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8283752,53.58430205,absent,NA,unknown,6,14006,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8783874,53.58475872,absent,NA,unknown,19,13019,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8261431,53.58614312,absent,NA,unknown,7,14007,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9270222,53.58479415,absent,NA,unknown,7,12007,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9362788,53.58468961,absent,NA,unknown,10,12010,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.884058,53.58589217,absent,NA,unknown,20,13020,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.948384,53.58575164,absent,NA,unknown,25,12025,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9235988,53.58659332,absent,NA,unknown,6,12006,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9252718,53.58683611,absent,NA,unknown,5,12005,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9258341,53.58757323,absent,NA,unknown,29,12029,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9300916,53.58882614,absent,NA,unknown,3,12003,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8609401,53.59031753,absent,NA,unknown,13,13013,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9319801,53.59047679,absent,NA,unknown,64,10064,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9487903,53.59031197,absent,NA,unknown,1,12001,12,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8928403,53.59173185,absent,NA,unknown,5,11005,11,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9350048,53.59185731,absent,NA,unknown,63,10063,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9387194,53.5921298,absent,NA,unknown,62,10062,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9428323,53.59218893,absent,NA,unknown,60,10060,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8444394,53.59377351,absent,NA,unknown,10,13010,13,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9497167,53.59238257,absent,NA,unknown,58,10058,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9427036,53.59267648,absent,NA,unknown,59,10059,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8361536,53.59435946,absent,NA,unknown,12,14012,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9509317,53.59317187,absent,NA,unknown,57,10057,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8937404,53.59428874,absent,NA,unknown,4,11004,11,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9319239,53.59520646,absent,NA,unknown,55,10055,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9428213,53.59655827,absent,NA,unknown,51,10051,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9439449,53.59667487,absent,NA,unknown,73,10073,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.947671,53.59685699,absent,NA,unknown,50,10050,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.950081,53.59733915,absent,NA,unknown,49,10049,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9027675,53.59811008,absent,NA,unknown,11,11011,11,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8433295,53.60056001,absent,NA,unknown,1,14001,14,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8259581,53.60147368,absent,NA,unknown,15,9015,9,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9470736,53.59996829,absent,NA,unknown,70,10070,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9450997,53.60009929,absent,NA,unknown,71,10071,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9234923,53.60088019,absent,NA,unknown,66,10066,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8280189,53.60299746,absent,NA,unknown,12,9012,9,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8466065,53.60326937,absent,NA,unknown,2,11002,11,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9362971,53.60194121,absent,NA,unknown,37,10037,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9452864,53.6018583,absent,NA,unknown,45,10045,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9220281,53.60225222,absent,NA,unknown,67,10067,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8471656,53.60361134,absent,NA,unknown,1,11001,11,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9451334,53.60214847,absent,NA,unknown,44,10044,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8265244,53.60409008,absent,NA,unknown,13,9013,9,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9481145,53.60222582,absent,NA,unknown,46,10046,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9424668,53.60233564,absent,NA,unknown,43,10043,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8081688,53.60500719,absent,NA,unknown,14,9014,9,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9363799,53.60309059,absent,NA,unknown,36,10036,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9368474,53.60339768,absent,NA,unknown,35,10035,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9427901,53.60411042,absent,NA,unknown,42,10042,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9455155,53.60519887,absent,NA,unknown,40,10040,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9335716,53.60547342,absent,NA,unknown,32,10032,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9143997,53.60602448,absent,NA,unknown,10,11010,11,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9126659,53.60612413,absent,NA,unknown,12,11012,11,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9430403,53.60594032,absent,NA,unknown,41,10041,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8972209,53.6068735,absent,NA,unknown,6,11006,11,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9334432,53.60630258,absent,NA,unknown,30,10030,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9380815,53.60691077,absent,NA,unknown,31,10031,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9503087,53.60687389,absent,NA,unknown,68,10068,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9499212,53.60732072,absent,NA,unknown,12,10012,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9060773,53.60818011,absent,NA,unknown,9,11009,11,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9495475,53.60774035,absent,NA,unknown,79,10079,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9039373,53.60899631,absent,NA,unknown,7,11007,11,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8765446,53.60999546,absent,NA,unknown,13,11013,11,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9383933,53.60909929,absent,NA,unknown,33,10033,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9343051,53.60961496,absent,NA,unknown,19,10019,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9334177,53.61037547,absent,NA,unknown,18,10018,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8572447,53.61216652,absent,NA,unknown,40,8040,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9285817,53.61107383,absent,NA,unknown,21,10021,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9421,53.61179911,absent,NA,unknown,14,10014,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9507815,53.61188262,absent,NA,unknown,10,10010,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9379308,53.61253198,absent,NA,unknown,16,10016,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8741611,53.61386253,absent,NA,unknown,3,11003,11,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8517183,53.61439177,absent,NA,unknown,11,9011,9,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9411583,53.61335169,absent,NA,unknown,15,10015,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9181852,53.61383908,absent,NA,unknown,23,10023,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9314827,53.61368808,absent,NA,unknown,28,10028,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8549577,53.61551926,absent,NA,unknown,9,9009,9,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8553595,53.61606142,absent,NA,unknown,8,9008,9,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9223043,53.61531925,absent,NA,unknown,22,10022,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8622271,53.61648513,absent,NA,unknown,49,8049,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8619106,53.61684966,absent,NA,unknown,38,8038,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9177918,53.6161648,absent,NA,unknown,24,10024,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.930306,53.61606245,absent,NA,unknown,27,10027,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8602087,53.6173436,absent,NA,unknown,39,8039,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9479703,53.61649537,absent,NA,unknown,9,10009,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9197215,53.61704184,absent,NA,unknown,25,10025,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9432387,53.61684201,absent,NA,unknown,77,10077,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8731892,53.61922675,absent,NA,unknown,50,8050,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.938255,53.61828933,absent,NA,unknown,6,10006,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9241913,53.61857925,absent,NA,unknown,26,10026,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9334059,53.61871839,absent,NA,unknown,5,10005,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8744386,53.62080739,absent,NA,unknown,35,8035,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9149068,53.62090378,absent,NA,unknown,37,8037,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8887699,53.62242497,absent,NA,unknown,33,8033,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8905854,53.62278286,absent,NA,unknown,32,8032,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9102273,53.62309122,absent,NA,unknown,36,8036,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9059395,53.62424738,absent,NA,unknown,51,8051,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8969383,53.62518152,absent,NA,unknown,31,8031,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8801043,53.62546518,absent,NA,unknown,24,8024,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9121006,53.62505707,absent,NA,unknown,29,8029,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9056147,53.62543023,absent,NA,unknown,42,8042,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8797743,53.62586592,absent,NA,unknown,23,8023,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9180864,53.62532986,absent,NA,unknown,28,8028,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9436156,53.62504378,absent,NA,unknown,3,10003,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9119178,53.62603091,absent,NA,unknown,43,8043,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8988575,53.62649957,absent,NA,unknown,52,8052,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.921984,53.6269035,absent,NA,unknown,27,8027,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8777054,53.62763345,absent,NA,unknown,22,8022,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9022361,53.62730895,absent,NA,unknown,41,8041,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9429738,53.62720281,absent,NA,unknown,75,10075,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9401111,53.62743805,absent,NA,unknown,2,10002,10,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8809895,53.62904723,absent,NA,unknown,18,8018,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8708226,53.6293055,absent,NA,unknown,25,8025,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8747517,53.62957663,absent,NA,unknown,20,8020,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8919669,53.62966529,absent,NA,unknown,61,8061,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8921323,53.63031894,absent,NA,unknown,60,8060,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.7797869,53.63206048,absent,NA,unknown,26,7026,7,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8849804,53.63070151,absent,NA,unknown,14,8014,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8736258,53.63113154,absent,NA,unknown,19,8019,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8585807,53.63156393,absent,NA,unknown,55,5055,5,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8533735,53.63215711,absent,NA,unknown,33,6033,6,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.780624,53.63398083,absent,NA,unknown,24,7024,7,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.7796037,53.63453539,absent,NA,unknown,25,7025,7,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8924901,53.633244,absent,NA,unknown,11,8011,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8682199,53.63372424,absent,NA,unknown,56,5056,5,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8525843,53.63416508,absent,NA,unknown,45,6045,6,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8806091,53.63375493,absent,NA,unknown,17,8017,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8522382,53.63420639,absent,NA,unknown,44,6044,6,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8513181,53.63426558,absent,NA,unknown,32,6032,6,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8824771,53.63392334,absent,NA,unknown,44,8044,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.872258,53.63473992,absent,NA,unknown,54,5054,5,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8839375,53.63479036,absent,NA,unknown,16,8016,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8524274,53.6354171,absent,NA,unknown,47,6047,6,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8494964,53.63549839,absent,NA,unknown,31,6031,6,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8533544,53.63586123,absent,NA,unknown,46,6046,6,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9259927,53.63489406,absent,NA,unknown,46,8046,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8523136,53.63627289,absent,NA,unknown,48,6048,6,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.7806011,53.63738828,absent,NA,unknown,22,7022,7,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8857721,53.6362448,absent,NA,unknown,15,8015,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.9046153,53.63614418,absent,NA,unknown,58,8058,8,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.7800528,53.6390955,absent,NA,unknown,21,7021,7,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
14,north,-112.8526174,53.63837182,absent,NA,unknown,16,6016,6,1992,NA,NA,winter,NA,foot,100,NA,NA,NA,NA,NA,NA,NA
